tc,isim,sifre,maas,kira,fatura,aidat,ev,araba
9011342151,Aigneis Cawthron,8874,$12682.50,$1570.73,$573.98,$382.18,true,false
7461845349,Imogen Goodburn,67256,$9325.72,$718.42,$266.63,$379.86,,false
9895062095,Daffy Bazylets,754,$6952.89,,$229.34,$74.39,,true
6301833392,Griffie De Dei,910,$4696.27,$4130.56,$428.55,$130.65,,true
8139026263,Chandler Worlock,945,$14926.08,$3417.11,$391.22,$20.23,,false
5212716985,Concordia Renals,58,$6143.14,,$235.01,$305.91,true,true
1152354272,Shirlee Houlridge,1,$12200.99,$4948.65,$569.65,$341.30,,true
2092497480,Editha Cogan,964,$10097.90,$1254.35,$358.38,$73.85,,false
9338414892,Carolyne Fittes,6,$3871.71,$1308.42,$175.83,$207.33,,false
7842398879,Far Grayham,88,$9226.64,$666.23,$536.94,$199.31,,false
9472386857,Fredrika Workman,5034,$6402.55,$4574.82,$368.49,$152.26,false,true
9260823897,Lilian Stuffins,18303,$5898.29,$3093.95,$157.04,$161.35,,true
4726676903,Vyky Kalisch,182,$8125.61,$1034.20,$477.50,$200.24,true,false
7053251101,Fred Woods,3,$9163.32,,$318.43,$397.76,true,true
0077545990,Serene Maunder,033,$5043.36,$1983.14,$394.19,$270.56,,true
2539110827,Christy Golds,30248,$12807.32,$4759.98,$426.92,$250.35,true,false
5675867554,Reba Stebbing,8,$11152.78,$1128.74,$183.71,$184.40,,false
1274950546,Alethea Mougeot,102,$4216.18,$2632.68,$328.74,$86.42,,true
8429011390,Carlina Balch,7,$14718.07,$4683.79,$203.87,$315.53,,false
7822963015,Tabor St. Clair,0,$3120.39,$2757.68,$496.02,$251.97,,true
5384628960,Nilson Greathead,38112,$11691.71,$2281.49,$417.93,$173.29,,false
1942141599,Cass Southcott,24,$14558.70,$3443.70,$363.76,$147.25,,true
8616379231,Alleyn Heistermann,81346,$8863.86,,$333.33,$378.44,,false
9235559871,Andrew O'Reagan,8119,$11068.02,$4219.66,$251.65,$331.92,,false
0313331642,Abba Doers,0,$13109.73,$2882.90,$234.81,$20.97,,false
3787801332,Elly Kemmey,134,$13493.14,$2456.41,$577.37,$374.46,,true
4572757224,Edwin Scarborough,4,$13325.40,$1993.46,$160.46,$89.10,,false
2206214741,Cynthy Werendell,45786,$12191.98,$2067.55,$388.67,$379.32,,true
3669437827,Elsinore Royal,69972,$11262.48,$668.68,$316.20,$122.73,,false
3803949505,Lewes Kyrkeman,26901,$5413.44,$3913.60,$569.07,$193.01,,false
9892188470,Emmeline Langley,1,$3732.58,$2631.76,$258.22,$147.81,,true
1037406214,Ricki Kilminster,17205,$8403.33,$1142.98,$263.30,$66.50,false,false
2588511252,Koral Matousek,5457,$14232.68,$3947.12,$422.75,$227.62,,false
6758395952,Neille Ruslen,05888,$9066.55,$4679.42,$194.39,$274.02,,false
4097001477,Lu Oxborough,5534,$12740.40,$751.75,$185.48,$126.15,false,true
7718198979,Bettine Bow,8,$12495.09,$1426.51,$431.13,$44.75,true,true
3604848121,Marci Tilly,7,$12051.15,$2850.53,$336.35,$263.06,,true
4349003797,Mike Priel,93,$7727.81,$1352.30,$509.65,$232.22,,false
0215220390,Yasmeen Lilliman,1137,$13107.26,$2411.39,$244.74,$308.97,,false
9629903091,Jacquette Colls,55,$10086.39,$3663.10,$491.71,$242.97,,true
1459874293,Sibyl Rice,2204,$12609.02,$3353.07,$276.04,$61.28,false,true
2107353042,Nanice Aucock,2842,$8485.28,$2925.11,$274.81,$114.96,,true
8421626655,Selestina Torrent,18,$11045.04,$967.31,$233.98,$165.72,true,true
7819336757,Jabez Jewel,79222,$3538.26,$4223.64,$581.77,$162.92,,false
7302742006,Ashla Slewcock,30836,$8850.91,$4412.75,$535.08,$42.44,,true
1947040928,Estrella Thonason,55957,$4389.68,$3553.70,$531.56,$269.90,true,false
7606897425,Myrlene Capun,15,$5709.33,$4484.55,$329.69,$341.36,false,true
9316154413,Ingunna Hallin,069,$13232.62,$4799.95,$455.45,$222.26,false,true
7438289427,Lindsey Adamovich,75860,$9560.23,$2023.78,$310.06,$96.63,,true
3968031997,Hurley Nesbitt,8,$7834.19,$4288.56,$193.35,$328.68,true,false
1513285424,Jude Newcomen,6872,$9917.55,,$574.20,$153.64,,false
2802706926,Caldwell Tschersich,767,$9997.65,$1437.20,$445.80,$165.65,true,true
1759521280,Garek Leather,6,$14956.31,$2503.71,$336.97,$206.66,false,true
2080857975,Ivie Monument,13307,$3092.18,$4564.79,$275.80,$127.99,,false
3575372799,Brit McGregor,64611,$8533.35,$2558.30,$359.74,$280.59,,true
0494921366,Tamarra Tebbet,12182,$10979.80,$1486.19,$164.24,$247.24,,true
7668524231,Meaghan Harcus,8798,$10839.10,$4493.34,$582.19,$323.14,true,true
7153578145,Jeanna de Broke,2,$9622.52,$4706.82,$405.08,$223.28,,true
3074524049,Cleopatra Smeed,62988,$10142.02,,$261.17,$391.06,,false
3351843739,Ollie Wabersinke,80,$10135.03,$972.72,$364.83,$101.05,,false
0631564659,Martguerita Jupp,44,$8613.48,,$585.22,$22.01,,true
6175231112,Loise Menlow,6,$9115.61,$4635.71,$176.59,$126.22,false,true
8519032834,Feliza Hundey,299,$3559.38,$3591.51,$235.56,$101.58,false,false
5574820900,Wilbur Halworth,54,$4768.80,,$375.58,$252.41,,true
5884444311,Rabbi Chomicki,5,$14009.61,$1144.38,$502.56,$169.14,,false
2197894242,Robers Rodge,45875,$13096.95,$2938.54,$346.73,$95.47,,true
5872060068,Parker Prozescky,79787,$12119.53,,$463.50,$142.86,,false
0091407494,Katina Dowrey,61862,$9338.02,$1090.69,$540.32,$70.05,true,false
4120982777,Carita Braybrooke,63700,$5290.19,$1138.72,$433.91,$382.63,,false
6459247811,Chelsy Gladdish,068,$7895.48,$4555.29,$268.91,$343.69,true,false
7627576121,Artus Uttermare,88808,$10073.75,$2172.75,$447.05,$328.73,,false
1758871024,Colan Fawthorpe,512,$8050.18,$4158.25,$339.94,$368.79,,false
0998938939,Alexandr Krishtopaittis,08239,$4773.43,$4979.40,$436.29,$172.36,,true
0708569919,Euell Pigny,960,$3706.85,,$537.71,$235.97,,false
1966336659,Wilma Bucher,72,$13870.52,,$405.87,$283.75,,true
2598055322,Hulda Halesworth,6,$11942.14,$1633.14,$285.01,$188.08,,true
1405376449,Alex Kellick,23740,$9451.67,$1269.09,$168.41,$254.29,,true
4655936665,Bettine L'Hommee,52263,$11283.76,,$249.70,$277.89,,false
2960167325,Fulton Wellard,296,$7304.32,$1954.21,$387.77,$201.77,true,true
1872405096,Delainey O'Kerin,1963,$6573.20,$4981.49,$217.12,$178.40,,true
1300300051,Constance Morston,1,$13570.74,$4300.61,$346.91,$300.41,true,false
2260851061,Imogene MacConnechie,82,$10848.34,,$179.08,$22.07,,true
9696606923,Shannon Jeens,5,$11246.07,$4363.44,$437.91,$208.77,,true
3183193345,Ina Chittock,5,$6230.79,$4529.31,$593.82,$152.95,,true
5466672114,Betta Stilgoe,43808,$13643.00,$2766.75,$355.92,$106.03,,false
2808677359,Bryan Duffus,48,$4794.21,,$194.93,$71.29,true,true
8406224452,Rozanna Rae,47973,$4923.34,$1876.23,$180.13,$232.97,true,true
3405087066,Moselle MacNamara,9,$12959.72,,$459.81,$289.52,false,true
3053661071,Carlin Simmonett,2,$13134.94,$3634.80,$539.94,$362.47,,true
4362779140,Sheena Rutherforth,79,$8857.20,$3848.17,$190.30,$202.78,,false
8614327005,Mattheus Proswell,1498,$6830.15,$1106.47,$432.45,$193.37,false,false
5652308095,Forster Ruffy,25,$7480.25,,$318.84,$32.17,false,false
4191161075,Idalina Ropert,91,$10411.07,$2069.04,$227.91,$356.72,,true
5959770733,Josias Hush,3,$7076.06,$1739.66,$402.77,$146.79,,true
4739355361,Eadie Eckford,58,$11719.38,$3801.98,$543.99,$217.28,,true
7428895243,Hugues Pargeter,07,$14010.77,$1154.58,$557.73,$266.61,,true
6907181800,Parry Krishtopaittis,84347,$10147.63,,$218.74,$105.76,false,true
9212519407,Jourdain Shurmer,791,$13720.13,$4192.50,$506.64,$235.01,,false
9552502489,Kristel Seeborne,65,$7308.25,,$433.85,$381.02,,true
3158522373,Vivyanne Vanyatin,46,$4188.13,$2936.36,$169.39,$68.27,,false
8676937605,Harp Cowap,70336,$7165.12,,$552.42,$75.94,,true
1555166857,Ives Scorthorne,32,$13909.21,$1969.36,$321.77,$124.37,,true
4555418271,Kelila Smewin,4,$13353.23,$1521.58,$481.49,$394.79,,false
5378686628,Sandie Seabright,0,$11162.81,$4620.23,$458.90,$253.59,,true
7131472212,Guss De Rechter,787,$9049.73,$4732.53,$152.90,$249.76,true,false
6248948283,Jeniffer Klainer,3226,$9902.46,$1134.68,$537.30,$290.74,,false
5511376752,Gardie Abrahams,64,$12801.36,$1811.52,$335.70,$74.69,true,true
9509845485,Adrea Tichner,51428,$11183.53,,$178.58,$123.41,,false
7067513006,Kaylee Hallum,168,$9225.88,$4957.47,$484.53,$214.50,false,false
4601609003,Feodora Goggey,54,$8649.35,$4965.25,$289.91,$292.43,true,false
4454825017,Stanislaw Paolo,32597,$6283.36,$2418.40,$247.91,$141.22,true,false
6356045825,Corri Weald,94377,$3063.74,,$203.67,$152.75,,true
4253817378,Raphael Fabler,4,$6910.52,$3402.05,$445.72,$192.67,,true
0239866991,Veda Benjamin,6002,$7069.81,$1853.26,$561.69,$343.97,,false
3443610331,Arther Chimenti,6,$6569.86,$4284.47,$553.00,$312.96,,false
2797528093,Leonie Shillitoe,452,$13735.59,$4291.51,$452.71,$114.88,false,true
8976011791,Carrol Agutter,9,$3529.13,$3338.38,$249.44,$80.06,,true
0775762334,Cyril Scrannage,754,$11392.07,$1125.16,$465.54,$224.20,true,false
6470863604,Kriste Kiln,23807,$6305.02,$2257.18,$353.00,$71.94,,false
3311963881,Raf Pentin,89,$13038.17,$1112.69,$188.80,$106.71,,false
3669262997,Hermy Ferrone,90,$10580.76,$3487.91,$346.79,$132.78,,false
8404305137,Jessee Dimblebee,82,$8401.94,$3371.99,$559.98,$81.69,,false
8760762969,Bette-ann Mariel,3526,$4412.82,$4860.96,$289.57,$293.63,false,false
1025993144,Dorris Spavins,9,$5836.63,$3457.34,$490.82,$242.25,,true
4585797963,Fonsie Greedy,90216,$14271.89,,$208.79,$59.44,true,true
3614782654,Andrea McGilroy,57,$14030.58,,$401.76,$36.05,,true
4333239281,Fin Poore,05,$10649.49,$836.39,$292.67,$218.70,true,false
9878230252,Ysabel Dyers,5,$6709.95,$2701.82,$434.75,$164.58,,false
0741811278,Cody Bolver,09,$12750.67,,$548.47,$348.84,false,false
7898899830,Flinn Westhead,9,$3755.57,$2381.92,$344.55,$53.33,,true
7598502994,Juieta Cubberley,14652,$4561.57,$1190.23,$511.56,$154.71,true,false
1520663463,April Lamberton,74,$8119.15,,$176.12,$157.19,,true
6193088237,Adlai Piwall,51469,$6573.77,$1406.34,$303.18,$184.52,,true
6793938290,Wandis O'Luby,77,$8488.22,$4493.25,$494.40,$115.33,,true
2521311294,Klara Mowson,74,$8254.32,$2194.13,$538.87,$152.20,,true
6324978923,Durant Kording,048,$7999.24,$4716.55,$353.10,$282.49,false,true
8768078943,Christiana Kerrey,641,$10360.28,$4181.39,$408.41,$240.92,,false
3816654932,Feliks Linggard,6,$3264.09,$3620.66,$531.48,$86.40,,true
1441738509,Rayna Keay,129,$8140.25,$4935.30,$257.82,$20.90,,true
1512078557,Betti Burnip,3383,$12433.25,$3880.26,$290.15,$349.04,false,false
1907076964,Weber Germaine,7724,$9620.57,$3269.74,$295.77,$355.83,false,true
2427234028,Myrtle Snashall,9,$14004.60,,$278.78,$306.38,false,false
8828107995,Billie Ortsmann,72912,$5262.36,$1314.17,$453.55,$70.58,,true
0048032131,Alameda Bottrell,100,$9534.72,$3675.75,$411.38,$85.66,,false
1022177664,Mignon Corstorphine,27890,$5871.59,$2810.77,$517.24,$59.62,,true
6507197092,Rollie Matysik,586,$13777.19,$2301.32,$382.62,$121.62,false,false
1453654275,Vanna Trevallion,9439,$3660.93,$4001.69,$579.83,$64.08,,true
7781930894,Emilio Edgar,607,$7398.78,$4743.56,$302.69,$254.38,,true
5688869607,Kirsti Mutter,908,$6930.44,$3615.30,$253.93,$268.18,true,false
9485109512,Gherardo Clail,7,$6650.01,$1435.76,$507.31,$170.15,,false
0111501237,Arney Loveridge,1392,$9421.85,,$526.14,$231.18,true,false
2961421454,Elmo Currao,538,$10815.57,,$359.14,$256.63,,true
3533979547,Lenna Stanbro,4,$9503.52,$1771.81,$235.06,$323.95,,true
1649222572,Christan Bote,642,$6163.24,,$267.09,$305.50,false,false
6365991460,Oswell Seeger,508,$6631.90,$2554.73,$365.96,$87.93,,false
7133720930,Erinna Reide,5,$11514.59,,$468.63,$343.92,true,true
7638877837,Gibby Freyn,710,$14791.81,,$159.30,$314.76,false,true
5094536567,Luciano Scammonden,117,$9284.22,$2048.40,$462.16,$25.54,,true
9276470506,Alisun Frere,73500,$10734.22,,$219.85,$45.78,,false
8520007015,Auroora Blackeby,6,$4756.64,$1874.48,$350.13,$124.65,,false
2238866469,Mareah Glassard,1,$6298.12,$1915.33,$394.12,$90.52,,true
5423595282,Hollyanne McCaskill,679,$13848.79,$1976.43,$527.01,$73.25,,false
4088513606,Elvira Sagar,266,$4919.26,,$544.35,$36.12,,false
1680444735,Margareta Kilgrew,03237,$10234.14,$1254.84,$372.96,$222.31,,true
4237434869,Wynn Neubigin,50381,$9466.14,$3499.73,$407.03,$39.80,false,false
7207225687,Kilian Melhuish,128,$6626.87,$4392.35,$503.66,$276.30,,true
5997184692,Sigismund Clearley,39,$8667.86,,$320.52,$242.69,,true
0456320369,Pincas Douce,8671,$5785.77,$1209.14,$352.34,$172.23,false,true
6832466285,Linn Gyles,36814,$11620.54,,$454.41,$179.26,false,false
2675413224,Shellysheldon Corcut,364,$3207.60,$4115.67,$348.65,$186.56,,true
0527067121,Radcliffe Croom,719,$9456.44,$3487.74,$237.00,$33.24,,true
1066330220,Cassie Bassil,8,$11794.63,$3363.19,$214.97,$366.46,,false
7215351440,Lorne Iacivelli,99,$8096.47,,$558.33,$186.31,,true
7271949704,Jodie McLinden,5674,$11630.71,$3487.35,$455.46,$202.76,,false
3611969605,Jermain Pretsell,1,$3432.23,$826.06,$285.88,$21.91,false,true
4357522927,Ethel Mochar,3,$12335.20,$3820.23,$348.87,$307.62,,false
3806250936,Tricia Crawshaw,1655,$11530.75,$2923.90,$437.06,$224.53,,false
8410165171,Ronny McComb,3,$7253.97,$4729.78,$214.27,$131.98,true,true
9329125794,Francois Tortice,02,$5014.68,,$459.51,$115.22,,true
2860413715,Latrina Farnish,948,$10170.68,$773.23,$560.41,$200.50,,true
0078879906,Lishe Lamminam,57,$13016.09,$4178.12,$180.16,$315.67,true,false
4931001955,Fleurette Hitschke,85,$12460.01,,$459.18,$315.60,false,true
5741255086,Stearne Fishly,86,$4472.99,$3301.70,$287.80,$81.41,true,false
2910421635,Erasmus Bompass,234,$5607.23,$1410.79,$158.43,$29.09,,false
5446322924,Rosy Cardis,1,$5479.67,,$572.88,$140.76,false,false
2042221066,Fayette Whitmell,86,$7148.41,$2648.39,$360.80,$238.15,,false
5490514256,Rutger Stickney,4292,$13091.38,,$565.81,$293.69,false,true
2616594927,Camellia O'Dunniom,22070,$7207.87,$1682.51,$536.39,$330.83,true,true
7965331403,Kermy Sperry,19,$3702.08,,$324.18,$67.08,,true
4994665184,Cayla Swindells,1,$12136.35,$1688.83,$472.81,$209.75,true,true
9226281173,Cristionna Lumbers,542,$6366.43,$4543.40,$355.15,$266.92,,false
1382120818,Olia Cocher,1773,$10404.59,,$348.48,$178.01,,false
3567075721,Jonathan Loudian,96,$3203.74,,$436.06,$177.19,,true
0490507794,Barri Adamowitz,6,$5855.56,$4032.64,$363.92,$312.70,,false
5576941969,Grantham Crowley,47312,$12551.39,,$267.78,$91.52,true,true
0987968661,Hermon Coddington,01391,$10127.71,$3527.01,$161.84,$319.10,,false
1794263861,Erena Yakovliv,47,$7157.52,,$416.34,$351.01,,true
5847289189,Angelika Trudgian,52969,$4317.22,$4868.94,$565.70,$39.03,,true
8132498313,Augusto Tring,1634,$4757.08,$3680.20,$548.78,$21.85,false,true
0933370229,Towney McCabe,15,$4252.08,$924.41,$283.55,$240.26,,false
6970491293,Trueman Emanueli,75838,$8724.92,$4166.35,$596.94,$369.41,false,true
5071830701,Jean Reightley,50651,$11324.85,$2437.28,$364.51,$248.78,,true
9442280716,Jacki Vedenisov,0,$7960.27,,$555.86,$25.42,true,false
2573536262,Hendrika Collumbell,7059,$3903.24,$4344.57,$545.36,$208.49,false,false
1652398848,Ethel Alford,2,$10673.09,$2458.22,$542.83,$24.48,,true
8637774466,Earle Malkin,281,$3222.97,$830.32,$199.49,$334.68,false,true
5821269970,Bernice Niemiec,06,$7511.51,,$575.10,$71.56,,true
1912339447,Gertruda Labbez,90562,$5320.01,$3907.72,$409.91,$103.38,,false
2082901289,Alford Cartmel,21,$6398.72,,$327.54,$183.29,,true
6683881952,Biddie Andreotti,20,$5701.03,$1532.45,$209.27,$182.22,,false
8402535682,Ives Leader,33424,$10959.56,$774.81,$482.44,$277.72,true,true
8434961709,Lib Biggs,611,$6733.04,$4827.52,$469.82,$33.37,,false
1233892665,Bryna Benfell,9602,$14218.90,,$387.91,$217.26,,true
3197446100,Ibrahim Nowakowski,62,$12938.68,,$411.92,$42.18,,true
5961797333,Vanny Ramelet,1119,$12561.83,$4414.75,$151.73,$360.26,,true
4529335097,Buffy Yegorovnin,487,$3278.90,$1872.49,$225.73,$282.66,,false
8259890631,Mendy Cymper,9236,$13793.39,$1289.22,$205.08,$156.19,,false
5112203692,Meryl Cridge,47260,$3789.23,$1424.79,$262.77,$294.66,true,false
0680976671,Berny Farmar,93529,$10379.56,$2058.80,$423.98,$321.85,,true
4548486410,Nari Sivess,57902,$4281.59,$3840.58,$265.98,$125.47,,false
5829349884,Ira Dickey,07,$11871.94,$1431.77,$370.58,$368.75,,false
1594526176,Dorothea Baggett,589,$10253.18,,$313.62,$152.55,,false
1509487417,Adrien Zanneli,59393,$8841.43,,$386.60,$165.90,true,false
7797682720,Arlette Iannelli,52149,$3154.31,$4146.58,$435.12,$24.40,false,true
2596418762,Truda MacWhan,7,$6426.72,$4742.59,$598.89,$72.36,false,false
3628440696,Arda McComas,17110,$3781.87,$3960.24,$517.00,$258.48,,false
0407818642,Jens Jaggar,5,$6207.86,$4688.23,$438.67,$134.08,,true
3052602411,Cindie Harsent,239,$10899.76,$2089.74,$369.13,$120.23,,false
6510857650,Laina Armistead,83,$4746.20,$4852.59,$206.71,$75.51,,false
4323856067,Livvie Vasilkov,0990,$12098.51,$2391.67,$340.97,$165.57,,false
9428857203,Ludvig Boole,7214,$14724.22,$855.96,$298.47,$255.51,,false
0909328471,Townsend Tuckwell,8175,$5816.42,$4048.20,$421.39,$212.36,,false
6833612293,Em Jennions,09990,$12207.37,$1440.01,$246.18,$41.72,,false
3301450830,Adria Cockshott,08,$6486.83,$3210.93,$249.02,$62.38,,false
9088669910,Kaitlin Sustin,310,$3836.00,,$587.29,$92.18,false,true
2181997217,Shane Bulmer,75352,$7967.84,$2310.01,$479.40,$108.62,,false
3667522940,Salomon Hartgill,71,$4793.63,,$301.59,$332.10,,true
7949958677,Hailee Iacovino,80336,$14893.33,,$449.00,$63.06,,false
1525228250,Padget Norman,408,$12418.80,,$509.29,$43.56,,false
0415074428,Bowie Rennox,8319,$3315.61,$1440.79,$504.36,$35.97,false,false
4323715617,Nonnah Kubes,58956,$12781.94,$2955.73,$303.90,$308.31,,false
6720028057,Staffard Rorke,622,$14104.30,,$434.17,$80.58,true,true
2585735923,Brade Belk,24520,$3514.23,$2136.89,$352.91,$119.95,,false
